iteration,particle,fitness_rmse,from_cache,hidden_dim,num_layers,dropout,lr,batch_size,lambda_phy
1,0,8.035209655761719,False,192,3,0.3,0.001,128,0.05
1,1,8.16979694366455,False,128,3,0.3,0.001,32,0.1
1,2,7.516456127166748,False,192,1,0.2,0.001,64,0.02
1,3,7.611763000488281,False,192,2,0.1,0.0003,32,0.02
1,4,7.866045951843262,False,64,2,0.2,0.003,32,0.02
1,5,7.868910789489746,False,256,3,0.0,0.003,64,0.02
2,0,7.636175632476807,False,192,2,0.2,0.001,64,0.05
2,1,7.559988021850586,False,256,1,0.2,0.001,64,0.1
2,2,7.516456127166748,True,192,1,0.2,0.001,64,0.02
2,3,7.61521577835083,False,192,1,0.2,0.0005,64,0.02
2,4,7.67753267288208,False,96,1,0.2,0.001,64,0.02
2,5,7.704218864440918,False,256,1,0.2,0.001,64,0.02
3,0,7.4837799072265625,False,256,1,0.1,0.001,64,0.02
3,1,7.857101917266846,False,256,1,0.1,0.001,64,0.01
3,2,7.516456127166748,True,192,1,0.2,0.001,64,0.02
3,3,7.704218864440918,True,256,1,0.2,0.001,64,0.02
3,4,7.774149417877197,False,128,1,0.2,0.001,64,0.02
3,5,7.541738986968994,False,192,1,0.3,0.001,64,0.02
4,0,7.56876802444458,False,256,1,0.1,0.001,32,0.01
4,1,7.617234706878662,False,256,1,0.1,0.001,64,0.05
4,2,7.704218864440918,True,256,1,0.2,0.001,64,0.02
4,3,7.9475483894348145,False,256,1,0.0,0.0005,64,0.02
4,4,7.4837799072265625,True,256,1,0.1,0.001,64,0.02
4,5,7.616884708404541,False,256,1,0.3,0.0005,32,0.02
5,0,7.857101917266846,True,256,1,0.1,0.001,64,0.01
5,1,7.7385149002075195,False,256,1,0.1,0.0005,64,0.05
5,2,7.857101917266846,True,256,1,0.1,0.001,64,0.01
5,3,7.574871063232422,False,192,1,0.1,0.0005,32,0.01
5,4,7.688419342041016,False,256,1,0.1,0.001,32,0.02
5,5,7.7241058349609375,False,256,1,0.0,0.001,64,0.02
6,0,7.516456127166748,True,192,1,0.2,0.001,64,0.02
6,1,7.617234706878662,True,256,1,0.1,0.001,64,0.05
6,2,7.56522274017334,False,192,1,0.1,0.001,64,0.02
6,3,7.700342655181885,False,256,1,0.2,0.001,32,0.01
6,4,7.4837799072265625,True,256,1,0.1,0.001,64,0.02
6,5,7.610879421234131,False,256,1,0.3,0.001,64,0.02
